id_tiempo,ano,semana
2000-W01,2000,1
2000-W02,2000,2
2000-W03,2000,3
2000-W04,2000,4
2000-W05,2000,5
2000-W06,2000,6
2000-W07,2000,7
2000-W08,2000,8
2000-W09,2000,9
2000-W10,2000,10
2000-W11,2000,11
2000-W12,2000,12
2000-W13,2000,13
2000-W14,2000,14
2000-W15,2000,15
2000-W16,2000,16
2000-W17,2000,17
2000-W18,2000,18
2000-W19,2000,19
2000-W20,2000,20
2000-W21,2000,21
2000-W22,2000,22
2000-W23,2000,23
2000-W24,2000,24
2000-W25,2000,25
2000-W26,2000,26
2000-W27,2000,27
2000-W28,2000,28
2000-W29,2000,29
2000-W30,2000,30
2000-W31,2000,31
2000-W32,2000,32
2000-W33,2000,33
2000-W34,2000,34
2000-W35,2000,35
2000-W36,2000,36
2000-W37,2000,37
2000-W38,2000,38
2000-W39,2000,39
2000-W40,2000,40
2000-W41,2000,41
2000-W42,2000,42
2000-W43,2000,43
2000-W44,2000,44
2000-W45,2000,45
2000-W46,2000,46
2000-W47,2000,47
2000-W48,2000,48
2000-W49,2000,49
2000-W50,2000,50
2000-W51,2000,51
2000-W52,2000,52
2001-W01,2001,1
2001-W02,2001,2
2001-W03,2001,3
2001-W04,2001,4
2001-W05,2001,5
2001-W06,2001,6
2001-W07,2001,7
2001-W08,2001,8
2001-W09,2001,9
2001-W10,2001,10
2001-W11,2001,11
2001-W12,2001,12
2001-W13,2001,13
2001-W14,2001,14
2001-W15,2001,15
2001-W16,2001,16
2001-W17,2001,17
2001-W18,2001,18
2001-W19,2001,19
2001-W20,2001,20
2001-W21,2001,21
2001-W22,2001,22
2001-W23,2001,23
2001-W24,2001,24
2001-W25,2001,25
2001-W26,2001,26
2001-W27,2001,27
2001-W28,2001,28
2001-W29,2001,29
2001-W30,2001,30
2001-W31,2001,31
2001-W32,2001,32
2001-W33,2001,33
2001-W34,2001,34
2001-W35,2001,35
2001-W36,2001,36
2001-W37,2001,37
2001-W38,2001,38
2001-W39,2001,39
2001-W40,2001,40
2001-W41,2001,41
2001-W42,2001,42
2001-W43,2001,43
2001-W44,2001,44
2001-W45,2001,45
2001-W46,2001,46
2001-W47,2001,47
2001-W48,2001,48
2001-W49,2001,49
2001-W50,2001,50
2001-W51,2001,51
2001-W52,2001,52
2002-W01,2002,1
2002-W02,2002,2
2002-W03,2002,3
2002-W04,2002,4
2002-W05,2002,5
2002-W06,2002,6
2002-W07,2002,7
2002-W08,2002,8
2002-W09,2002,9
2002-W10,2002,10
2002-W11,2002,11
2002-W12,2002,12
2002-W13,2002,13
2002-W14,2002,14
2002-W15,2002,15
2002-W16,2002,16
2002-W17,2002,17
2002-W18,2002,18
2002-W19,2002,19
2002-W20,2002,20
2002-W21,2002,21
2002-W22,2002,22
2002-W23,2002,23
2002-W24,2002,24
2002-W25,2002,25
2002-W26,2002,26
2002-W27,2002,27
2002-W28,2002,28
2002-W29,2002,29
2002-W30,2002,30
2002-W31,2002,31
2002-W32,2002,32
2002-W33,2002,33
2002-W34,2002,34
2002-W35,2002,35
2002-W36,2002,36
2002-W37,2002,37
2002-W38,2002,38
2002-W39,2002,39
2002-W40,2002,40
2002-W41,2002,41
2002-W42,2002,42
2002-W43,2002,43
2002-W44,2002,44
2002-W45,2002,45
2002-W46,2002,46
2002-W47,2002,47
2002-W48,2002,48
2002-W49,2002,49
2002-W50,2002,50
2002-W51,2002,51
2002-W52,2002,52
2003-W01,2003,1
2003-W02,2003,2
2003-W03,2003,3
2003-W04,2003,4
2003-W05,2003,5
2003-W06,2003,6
2003-W07,2003,7
2003-W08,2003,8
2003-W09,2003,9
2003-W10,2003,10
2003-W11,2003,11
2003-W12,2003,12
2003-W13,2003,13
2003-W14,2003,14
2003-W15,2003,15
2003-W16,2003,16
2003-W17,2003,17
2003-W18,2003,18
2003-W19,2003,19
2003-W20,2003,20
2003-W21,2003,21
2003-W22,2003,22
2003-W23,2003,23
2003-W24,2003,24
2003-W25,2003,25
2003-W26,2003,26
2003-W27,2003,27
2003-W28,2003,28
2003-W29,2003,29
2003-W30,2003,30
2003-W31,2003,31
2003-W32,2003,32
2003-W33,2003,33
2003-W34,2003,34
2003-W35,2003,35
2003-W36,2003,36
2003-W37,2003,37
2003-W38,2003,38
2003-W39,2003,39
2003-W40,2003,40
2003-W41,2003,41
2003-W42,2003,42
2003-W43,2003,43
2003-W44,2003,44
2003-W45,2003,45
2003-W46,2003,46
2003-W47,2003,47
2003-W48,2003,48
2003-W49,2003,49
2003-W50,2003,50
2003-W51,2003,51
2003-W52,2003,52
2003-W53,2003,53
2004-W01,2004,1
2004-W02,2004,2
2004-W03,2004,3
2004-W04,2004,4
2004-W05,2004,5
2004-W06,2004,6
2004-W07,2004,7
2004-W08,2004,8
2004-W09,2004,9
2004-W10,2004,10
2004-W11,2004,11
2004-W12,2004,12
2004-W13,2004,13
2004-W14,2004,14
2004-W15,2004,15
2004-W16,2004,16
2004-W17,2004,17
2004-W18,2004,18
2004-W19,2004,19
2004-W20,2004,20
2004-W21,2004,21
2004-W22,2004,22
2004-W23,2004,23
2004-W24,2004,24
2004-W25,2004,25
2004-W26,2004,26
2004-W27,2004,27
2004-W28,2004,28
2004-W29,2004,29
