ano,casos,casos_graves
2000,5557,0
2001,23526,250
2002,8086,14
2003,3349,15
2004,9547,34
2005,5640,15
2006,4022,4
2007,6344,35
2008,12824,35
2009,13407,11
2010,16842,39
2011,28084,176
2012,28505,199
2013,13091,72
2014,17234,92
2015,35816,123
2016,25160,123
2017,68290,234
2018,4698,64
2019,15287,158
2020,47932,225
2021,44791,129
2022,63217,212
2023,256641,1017
2024,271531,736
